Vote,index_col
Greens,4477
Pinks,6490
Greens,3961
Purples,2744
Blues,262
Whites,7134
Browns,7925
Turquoises,6163
Purples,9952
Blues,4007
Purples,7890
Purples,3147
Browns,777
Whites,8189
Browns,4770
Blues,8054
Pinks,3126
Pinks,8236
Greens,9140
Browns,6205
Greys,428
Browns,7915
Pinks,6031
Browns,6295
Reds,1095
Purples,9376
Yellows,9170
Purples,9723
Reds,7312
Browns,1496
Browns,7142
Browns,8623
Purples,8137
Purples,951
Yellows,3594
Turquoises,6206
Purples,3077
Blues,2970
Greys,977
Greys,6913
Greens,6530
Pinks,0
Pinks,9497
Reds,1636
Pinks,6741
Pinks,2623
Purples,5129
Whites,1853
Greens,5869
Browns,4106
Oranges,5728
Blues,1712
Browns,2760
Browns,4
Greys,8534
Purples,5841
Purples,9586
Whites,4080
Blues,2474
Purples,1807
Greys,224
Greens,3342
Yellows,4396
Purples,745
Greens,8178
Pinks,8405
Greens,2410
Purples,601
Greys,9807
Pinks,5525
Browns,4643
Browns,7901
Browns,883
Blues,228
Greys,4542
Pinks,2044
Pinks,9901
Blues,3057
Browns,3287
Greens,5384
Pinks,8226
Blues,6661
Blues,1455
Yellows,9727
Pinks,2920
Purples,3995
Purples,2092
Browns,2947
Browns,9685
Pinks,8256
Whites,5754
Blues,1391
Greens,1470
Oranges,390
Blues,4275
Pinks,8892
Browns,8483
Browns,8829
Browns,5584
Purples,8395
Pinks,2833
Greys,5216
Greens,752
Purples,3766
Yellows,5549
Browns,1684
Greens,2638
Greys,6858
Greens,1990
Oranges,2898
Pinks,9278
Browns,556
Browns,7513
Whites,2647
Greens,971
Purples,8948
Purples,3119
Pinks,4505
Purples,6624
Greens,7709
Browns,4791
Oranges,6947
Browns,7804
Pinks,5399
Browns,2507
Oranges,2657
Blues,6842
Purples,2010
Purples,711
Greens,8266
Purples,6818
Purples,4807
Purples,9451
Greys,9873
Blues,3700
Turquoises,2289
Browns,4225
Purples,851
Greens,4919
Browns,8482
Pinks,6546
Blues,8528
Pinks,8163
Purples,5352
Purples,5166
Browns,2375
Browns,8157
Purples,8599
Browns,3195
Greys,5046
Greys,3007
Purples,1613
Pinks,9101
Browns,8704
Purples,2739
Greens,2293
Purples,6955
Purples,99
Greys,8494
Purples,780
Purples,6957
Browns,9535
Pinks,4906
Pinks,5899
Purples,6085
Oranges,1343
Browns,4220
Blues,6972
Purples,9761
Browns,5540
Purples,7704
Greys,1742
Whites,8170
Pinks,7056
Blues,4904
Blues,8855
Purples,4599
Greys,7720
Purples,6181
Purples,2144
Greens,6255
Blues,1446
Turquoises,6405
Reds,922
Greys,3821
Browns,8886
Purples,9750
Browns,3454
Yellows,1417
Purples,6103
Greys,7034
Browns,2447
Greens,9268
Reds,7101
Blues,7971
Whites,8421
Browns,3120
Browns,9543
Greens,7434
Greys,8407
Greys,4154
Browns,5519
Reds,8235
Greens,6982
Oranges,799
Purples,1021
Purples,2122
Blues,6059
Reds,8807
Blues,9779
Browns,5236
Whites,9327
Pinks,2606
Browns,9773
Purples,2683
Blues,3251
Pinks,7751
Turquoises,4520
Whites,7433
Yellows,1015
Browns,5711
Oranges,8379
Purples,3865
Reds,8463
Browns,5813
Oranges,5801
Blues,3425
Greys,4021
Reds,5814
Whites,5733
Oranges,4989
Blues,6551
Greens,5199
Oranges,2998
Purples,7746
Browns,2053
Purples,9443
Purples,8102
Blues,3989
Purples,6501
Browns,1606
Browns,962
Purples,1673
Blues,1968
Purples,8649
Yellows,2612
Blues,4534
Greys,7764
Browns,860
Browns,5051
Purples,881
Yellows,1575
Browns,9393
Purples,9293
Browns,5671
Browns,3583
Whites,6528
Pinks,6379
Purples,6705
Purples,9941
Yellows,6721
Yellows,8107
Greens,3415
Purples,3052
Purples,2915
Greens,6558
Greens,5585
Greens,5390
Purples,4711
Turquoises,196
Blues,5470
Blues,5484
Greens,7534
Purples,4135
Greens,5548
Pinks,7152
Pinks,954
Purples,4119
Yellows,4236
Purples,2398
Greys,8964
Purples,8613
Greens,4389
Greens,7967
Purples,6962
Yellows,5892
Browns,5761
Purples,5854
Greys,9774
Blues,8981
Browns,7415
Greys,9062
Blues,6928
Pinks,4170
Pinks,8750
Browns,9464
Browns,9388
Yellows,9149
Blues,8190
Browns,284
Greens,3200
Blues,9534
Purples,4964
Blues,7646
Blues,6572
Yellows,6084
Yellows,1097
Reds,5809
Browns,2139
Browns,8754
Purples,1743
Greys,9037
Yellows,3270
Blues,6452
Pinks,3322
Greys,9511
Purples,6003
