Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters,index_col
2.0,206.5005505,19592.4235,Environment,68.83351684,No,284.6349338,Yes,Female,After_16:00,0.820412598,0.985346718,6.133399498999999,4.05217919,6.6861090039999995,0.297359484,,83.48799734,484.8241603999999,3815.997658,58031.934610000004,No,81017.04551,22.01872295,250.1788656,92.28038567,4816.886557,90.0,30-45,4.0,778.0054097,13.0,Public_or_other,Services_or_Retail,626.4003438999999,2.0,No,4477
8.0,710.6042769,163715.7818,Social,236.8680923,No,691.1685749,,Female,By_16:00,0.60101482,0.719091177,2.039508186,7.022478054,5.301837965,9.010860615,4394.0,71.67046769,635.705358,8183.0964650000005,73490.74724,No,477713.9989,25.21319809,235.96106060000002,84.45710270000001,56353.36124,70.0,30-45,2.0,877.8702194,8.0,Public_or_other,Industry_or_other,473.23707939999997,0.0,Yes,6490
8.0,303.64371370000003,24006.53532,Education,101.21457120000001,No,237.1845775,Yes,Female,After_16:00,0.76654767,0.639119068,6.367631166000001,5.154561228,5.612359145,9.784370873,8772.0,70.37032475,439.60005099999995,,53211.755619999996,No,56256.52381,20.96664139,290.937915,47.77896462,10355.604,100.0,45_and_up,1.0,723.9588018999999,16.0,Public_or_other,Student_or_Unemployed,609.2005962999999,1.0,Yes,3961
10.0,119.6977278,18878.03186,Healthcare,39.89924259,No,473.1426121,Yes,Male,After_16:00,0.23290928100000002,0.439145246,0.664010155,5.492525992000001,8.60464982,4.136813721,7117.0,68.37296623,444.3888941000001,5620.203909000001,53770.26097,No,223863.9314,21.08053353,84.43367298,20.10683455,1641.848802,80.0,30-45,4.0,668.4756798,14.0,Car,Services_or_Retail,442.4228279,0.0,Yes,2744
1.0,1768.6003030000002,272996.4674,Social,589.5334343999999,Yes,463.07206940000003,Yes,Male,By_16:00,0.35352568,0.861148215,2.7023932410000002,2.754079564,6.7497732070000005,9.437265277,9427.0,99.96049975,269.6666275,5170.053949,45528.19131,Yes,214435.7415,16.42152939,306.782856,18.4602892,348149.2037,70.0,30-45,2.0,638.629692,9.0,Car,Services_or_Retail,699.2450405000001,1.0,Yes,262
1.0,113.60937369999999,19333.146930000003,Environment,37.86979125,No,510.51633210000006,No,Male,After_16:00,0.091198208,0.315892605,,8.43000443,8.745146056,9.201590023,4590.0,78.29865641,386.77993389999995,5878.723189,49316.14885,No,260626.9254,19.66672148,138.1606834,96.87876932,1481.99088,90.0,45_and_up,4.0,609.9139322999999,10.0,Public_or_other,Hightech,421.5207171,0.0,Yes,7134
9.0,365.3992981,37063.647769999996,Financial,121.79976599999999,No,304.2998273,Yes,Male,By_16:00,0.9671210809999999,0.46939125600000003,0.261834478,8.838168005,2.529600405,2.564299796,8972.0,0.4906927,371.27438060000003,3785.547035,43854.5953,No,92598.38492000001,19.26848153,258.6072085,22.17404039,14966.982769999999,60.0,30-45,2.0,559.784486,6.0,Public_or_other,Industry_or_other,390.4151214,0.0,No,7925
7.0,2298.56898,412072.2472,Environment,766.1896598999999,Yes,537.8201622,No,Female,By_16:00,0.312793886,0.349714194,3.498861145,1.286532963,9.410258193999999,3.713458993,8018.0,18.5392689,490.19763889999996,6358.5969,59940.344000000005,Yes,289250.5269,22.14040738,39.23053629,52.54061657,587822.7846,90.0,45_and_up,3.0,746.7335897,12.0,Motorcycle_or_truck,Industry_or_other,503.54739689999997,1.0,No,6163
1.0,325.25368019999996,43448.34349,Education,108.41789340000001,No,400.7488259,Yes,Male,After_16:00,0.45330433600000003,0.93287429,7.031952296,8.068841302000001,6.9465903010000005,3.008856471,5035.0,17.74216702,312.3144852,4632.11723,42060.447,No,160599.6215,17.6724216,219.0234778,20.32037154,11872.8575,100.0,Below_30,3.0,544.2570092999999,13.0,Motorcycle_or_truck,Industry_or_other,446.19818,2.0,Yes,9952
6.0,1414.1493699999999,229353.73,Financial,471.3831233,Yes,486.55481849999995,Yes,Male,By_16:00,0.610554199,0.38204362799999997,2.654695297,2.325873224,2.144368035,3.68101795,9304.0,56.89145417,580.1987251,6025.945635,62799.53548,Yes,236735.5914,24.08731461,168.2514381,73.19975267,222683.4321,60.0,45_and_up,2.0,747.1866291,12.0,Motorcycle_or_truck,Industry_or_other,352.7045894,1.0,No,4007
